S.No,Date,Number of Books Sold
1,01-01-2020,90
2,02-01-2020,100
3,03-01-2020,100
4,04-01-2020,97
5,05-01-2020,93
6,06-01-2020,95
7,07-01-2020,100
8,08-01-2020,96
9,09-01-2020,96
10,10-01-2020,92
11,11-01-2020,99
12,12-01-2020,94
13,13-01-2020,90
14,14-01-2020,92
15,15-01-2020,91
16,16-01-2020,96
17,17-01-2020,99
18,18-01-2020,95
19,19-01-2020,99
20,20-01-2020,97
21,21-01-2020,99
22,22-01-2020,99
23,23-01-2020,93
24,24-01-2020,97
25,25-01-2020,95
26,26-01-2020,99
27,27-01-2020,90
28,28-01-2020,92
29,29-01-2020,95
30,30-01-2020,90
31,31-01-2020,94
32,01-02-2020,100
33,02-02-2020,100
34,03-02-2020,94
35,04-02-2020,100
36,05-02-2020,97
37,06-02-2020,98
38,07-02-2020,99
39,08-02-2020,98
40,09-02-2020,95
41,10-02-2020,98
42,11-02-2020,99
43,12-02-2020,90
44,13-02-2020,93
45,14-02-2020,94
46,15-02-2020,91
47,16-02-2020,92
48,17-02-2020,95
49,18-02-2020,91
50,19-02-2020,94
51,20-02-2020,98
52,21-02-2020,91
53,22-02-2020,93
54,23-02-2020,99
55,24-02-2020,97
56,25-02-2020,97
57,26-02-2020,91
58,27-02-2020,93
59,28-02-2020,93
60,29-02-2020,97
61,01-03-2020,98
62,02-03-2020,91
63,03-03-2020,100
64,04-03-2020,90
65,05-03-2020,90
66,06-03-2020,97
67,07-03-2020,91
68,08-03-2020,98
69,09-03-2020,93
70,10-03-2020,92
71,11-03-2020,94
72,12-03-2020,96
73,13-03-2020,93
74,14-03-2020,98
75,15-03-2020,92
76,16-03-2020,97
77,17-03-2020,93
78,18-03-2020,97
79,19-03-2020,92
80,20-03-2020,90
81,21-03-2020,100
82,22-03-2020,92
83,23-03-2020,92
84,24-03-2020,91
85,25-03-2020,93
86,26-03-2020,98
87,27-03-2020,92
88,28-03-2020,96
89,29-03-2020,91
90,30-03-2020,97
91,31-03-2020,96
92,01-04-2020,93
93,02-04-2020,98
94,03-04-2020,98
95,04-04-2020,95
96,05-04-2020,91
97,06-04-2020,98
98,07-04-2020,98
99,08-04-2020,93
100,09-04-2020,99
101,10-04-2020,97
102,11-04-2020,92
103,12-04-2020,95
104,13-04-2020,99
105,14-04-2020,92
106,15-04-2020,93
107,16-04-2020,96
108,17-04-2020,98
109,18-04-2020,96
110,19-04-2020,94
111,20-04-2020,90
112,21-04-2020,99
113,22-04-2020,91
114,23-04-2020,95
115,24-04-2020,94
116,25-04-2020,92
117,26-04-2020,97
118,27-04-2020,95
119,28-04-2020,90
120,29-04-2020,97
121,30-04-2020,99
122,01-05-2020,94
123,02-05-2020,93
124,03-05-2020,94
125,04-05-2020,97
126,05-05-2020,91
127,06-05-2020,91
128,07-05-2020,94
129,08-05-2020,98
130,09-05-2020,95
131,10-05-2020,96
132,11-05-2020,100
133,12-05-2020,99
134,13-05-2020,92
135,14-05-2020,91
136,15-05-2020,98
137,16-05-2020,94
138,17-05-2020,97
139,18-05-2020,98
140,19-05-2020,91
141,20-05-2020,99
142,21-05-2020,98
143,22-05-2020,91
144,23-05-2020,92
145,24-05-2020,93
146,25-05-2020,93
147,26-05-2020,98
148,27-05-2020,92
149,28-05-2020,100
150,29-05-2020,100
151,30-05-2020,91
152,31-05-2020,95
153,01-06-2020,93
154,02-06-2020,97
155,03-06-2020,93
156,04-06-2020,97
157,05-06-2020,97
158,06-06-2020,96
159,07-06-2020,92
160,08-06-2020,95
161,09-06-2020,93
162,10-06-2020,93
163,11-06-2020,99
164,12-06-2020,100
165,13-06-2020,97
166,14-06-2020,95
167,15-06-2020,90
168,16-06-2020,100
169,17-06-2020,97
170,18-06-2020,90
171,19-06-2020,90
172,20-06-2020,100
173,21-06-2020,92
174,22-06-2020,99
175,23-06-2020,93
176,24-06-2020,91
177,25-06-2020,95
178,26-06-2020,93
179,27-06-2020,99
180,28-06-2020,98
181,29-06-2020,92
182,30-06-2020,94
183,01-07-2020,97
184,02-07-2020,93
185,03-07-2020,99
186,04-07-2020,95
187,05-07-2020,91
188,06-07-2020,96
189,07-07-2020,99
190,08-07-2020,92
191,09-07-2020,97
192,10-07-2020,91
193,11-07-2020,99
194,12-07-2020,98
195,13-07-2020,100
196,14-07-2020,93
197,15-07-2020,96
198,16-07-2020,92
199,17-07-2020,97
200,18-07-2020,93
201,19-07-2020,99
202,20-07-2020,95
203,21-07-2020,91
204,22-07-2020,98
205,23-07-2020,96
206,24-07-2020,94
207,25-07-2020,100
208,26-07-2020,100
209,27-07-2020,96
210,28-07-2020,99
211,29-07-2020,93
212,30-07-2020,97
213,31-07-2020,92
214,01-08-2020,94
215,02-08-2020,95
216,03-08-2020,90
217,04-08-2020,92
218,05-08-2020,90
219,06-08-2020,91
220,07-08-2020,96
221,08-08-2020,99
222,09-08-2020,100
223,10-08-2020,97
224,11-08-2020,99
225,12-08-2020,100
226,13-08-2020,91
227,14-08-2020,92
228,15-08-2020,96
229,16-08-2020,99
230,17-08-2020,99
231,18-08-2020,100
232,19-08-2020,90
233,20-08-2020,92
234,21-08-2020,99
235,22-08-2020,93
236,23-08-2020,96
237,24-08-2020,100
238,25-08-2020,93
239,26-08-2020,94
